ORDERDATE,SHIPADDRESS,REQUIREDDATE,SHIPNAME,SHIPCOUNTRY,SHIPPEDDATE,EMPLOYEEID,SHIPREGION,FREIGHT,ORDERID,SHIPVIA,SHIPPOSTALCODE,CUSTOMERID,SHIPCITY,SITEID
10/06/1994 12:00:00 AM,8 Johnstown Road,11/03/1994 12:00:00 AM,Hungry Owl All-Night Grocers,Ireland,10/12/1994 12:00:00 AM,6,Co. Cork,168.22,10298,2,,IRLND,Cork,1
10/07/1994 12:00:00 AM,"Av. Copacabana, 267",11/04/1994 12:00:00 AM,Ricardo Adocicados,Brazil,10/14/1994 12:00:00 AM,4,RJ,29.76,10299,2,02389-890,BRAZL,Rio de Janeiro,7
10/10/1994 12:00:00 AM,Adenauerallee 900,11/07/1994 12:00:00 AM,Die Wandernde Kuh,Germany,10/18/1994 12:00:00 AM,8,,45.08,10301,2,70563,GERMN,Stuttgart,3
10/10/1994 12:00:00 AM,Via Ludovico il Moro 22,11/07/1994 12:00:00 AM,Magazzini Alimentari Riuniti,Italy,10/19/1994 12:00:00 AM,2,,17.68,10300,2,24100,ITALY,Bergamo,2
10/11/1994 12:00:00 AM,"Boulevard Tirou, 255",11/08/1994 12:00:00 AM,Suprêmes délices,Belgium,11/09/1994 12:00:00 AM,4,,6.27,10302,2,B-6000,BELGM,Charleroi,2
10/12/1994 12:00:00 AM,"C/ Romero, 33",11/09/1994 12:00:00 AM,Godos Cocina Típica,Spain,10/19/1994 12:00:00 AM,7,,107.83,10303,2,41101,SPAIN,Sevilla,4
10/13/1994 12:00:00 AM,Avda. Azteca 123,11/10/1994 12:00:00 AM,Tortuga Restaurante,Mexico,10/18/1994 12:00:00 AM,1,,63.79,10304,2,05033,MEXIC,México D.F.,5
10/14/1994 12:00:00 AM,2743 Bering St.,11/11/1994 12:00:00 AM,Old World Delicatessen,USA,11/09/1994 12:00:00 AM,8,AK,257.62,10305,3,99508,USADI,Anchorage,6
10/17/1994 12:00:00 AM,"Gran Vía, 1",11/14/1994 12:00:00 AM,Romero y tomillo,Spain,10/24/1994 12:00:00 AM,1,,7.56,10306,3,28001,SPAIN,Madrid,5
10/18/1994 12:00:00 AM,89 Chiaroscuro Rd.,11/15/1994 12:00:00 AM,Lonesome Pine Restaurant,USA,10/26/1994 12:00:00 AM,2,OR,0.56,10307,2,97219,USADI,Portland,5
10/19/1994 12:00:00 AM,Avda. de la Constitución 2222,11/16/1994 12:00:00 AM,Ana Trujillo Emparedados y helados,Mexico,10/25/1994 12:00:00 AM,7,,1.61,10308,3,05021,MEXIC,México D.F.,1
10/20/1994 12:00:00 AM,8 Johnstown Road,11/17/1994 12:00:00 AM,Hungry Owl All-Night Grocers,Ireland,11/23/1994 12:00:00 AM,3,Co. Cork,47.3,10309,1,,IRLND,Cork,1
10/21/1994 12:00:00 AM,"67, rue des Cinquante Otages",11/04/1994 12:00:00 AM,Du monde entier,France,10/27/1994 12:00:00 AM,1,,24.69,10311,3,44000,FRANC,Nantes,3
10/21/1994 12:00:00 AM,"89 Jefferson Way, Suite 2",11/18/1994 12:00:00 AM,The Big Cheese,USA,10/28/1994 12:00:00 AM,8,OR,17.52,10310,2,97201,USADI,Portland,10
10/24/1994 12:00:00 AM,Adenauerallee 900,11/21/1994 12:00:00 AM,Die Wandernde Kuh,Germany,11/03/1994 12:00:00 AM,2,,40.26,10312,2,70563,GERMN,Stuttgart,3
10/25/1994 12:00:00 AM,Taucherstraße 10,11/22/1994 12:00:00 AM,QUICK-Stop,Germany,11/04/1994 12:00:00 AM,2,,1.96,10313,2,01307,GERMN,Cunewalde,10
10/26/1994 12:00:00 AM,2817 Milton Dr.,11/23/1994 12:00:00 AM,Rattlesnake Canyon Grocery,USA,11/04/1994 12:00:00 AM,1,NM,74.16,10314,2,87110,USADI,Albuquerque,7
10/27/1994 12:00:00 AM,"Garden House, Crowther Way",11/24/1994 12:00:00 AM,Island Trading,UK,11/03/1994 12:00:00 AM,4,Isle of Wight,41.76,10315,2,PO31 7PJ,UKDST,Cowes,5
10/28/1994 12:00:00 AM,2817 Milton Dr.,11/25/1994 12:00:00 AM,Rattlesnake Canyon Grocery,USA,11/08/1994 12:00:00 AM,1,NM,150.15,10316,3,87110,USADI,Albuquerque,7
10/31/1994 12:00:00 AM,89 Chiaroscuro Rd.,11/28/1994 12:00:00 AM,Lonesome Pine Restaurant,USA,11/10/1994 12:00:00 AM,6,OR,12.69,10317,1,97219,USADI,Portland,5
11/01/1994 12:00:00 AM,"Garden House, Crowther Way",11/29/1994 12:00:00 AM,Island Trading,UK,11/04/1994 12:00:00 AM,8,Isle of Wight,4.73,10318,2,PO31 7PJ,UKDST,Cowes,5
11/02/1994 12:00:00 AM,Avda. Azteca 123,11/30/1994 12:00:00 AM,Tortuga Restaurante,Mexico,11/11/1994 12:00:00 AM,7,,64.5,10319,3,05033,MEXIC,México D.F.,5
11/03/1994 12:00:00 AM,"Garden House, Crowther Way",12/01/1994 12:00:00 AM,Island Trading,UK,11/11/1994 12:00:00 AM,3,Isle of Wight,3.43,10321,2,PO31 7PJ,UKDST,Cowes,5
11/03/1994 12:00:00 AM,Torikatu 38,11/17/1994 12:00:00 AM,Wartian Herkku,Finland,11/18/1994 12:00:00 AM,5,,34.57,10320,3,90110,FNLND,Oulu,1
11/04/1994 12:00:00 AM,Calle Dr. Jorge Cash 321,12/02/1994 12:00:00 AM,Pericles Comidas clásicas,Mexico,11/23/1994 12:00:00 AM,7,,0.4,10322,3,05033,MEXIC,México D.F.,4
11/07/1994 12:00:00 AM,Maubelstr. 90,12/05/1994 12:00:00 AM,Königlich Essen,Germany,11/14/1994 12:00:00 AM,4,,4.88,10323,1,14776,GERMN,Brandenburg,6
11/08/1994 12:00:00 AM,187 Suffolk Ln.,12/06/1994 12:00:00 AM,Save-a-lot Markets,USA,11/10/1994 12:00:00 AM,9,ID,214.27,10324,1,83720,USADI,Boise,8
11/09/1994 12:00:00 AM,Maubelstr. 90,11/23/1994 12:00:00 AM,Königlich Essen,Germany,11/14/1994 12:00:00 AM,1,,64.86,10325,3,14776,GERMN,Brandenburg,6
11/10/1994 12:00:00 AM,"C/ Araquil, 67",12/08/1994 12:00:00 AM,Bólido Comidas preparadas,Spain,11/14/1994 12:00:00 AM,4,,77.92,10326,2,28023,SPAIN,Madrid,1
11/11/1994 12:00:00 AM,Åkergatan 24,12/09/1994 12:00:00 AM,Folk och fä HB,Sweden,11/14/1994 12:00:00 AM,2,,63.36,10327,1,S-844 67,SWEDN,Bräcke,2
11/14/1994 12:00:00 AM,Jardim das rosas n. 32,12/12/1994 12:00:00 AM,Furia Bacalhau e Frutos do Mar,Portugal,11/17/1994 12:00:00 AM,4,,87.03,10328,3,1675,PORTU,Lisboa,1
11/15/1994 12:00:00 AM,P.O. Box 555,12/27/1994 12:00:00 AM,Split Rail Beer & Ale,USA,11/23/1994 12:00:00 AM,4,WY,191.67,10329,2,82520,USADI,Lander,9
11/16/1994 12:00:00 AM,"12, rue des Bouchers",12/28/1994 12:00:00 AM,Bon app',France,11/21/1994 12:00:00 AM,9,,10.19,10331,1,13008,FRANC,Marseille,2
11/16/1994 12:00:00 AM,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,12/14/1994 12:00:00 AM,LILA-Supermercado,Venezuela,11/28/1994 12:00:00 AM,3,Lara,12.75,10330,1,3508,VENEZ,Barquisimeto,3
11/17/1994 12:00:00 AM,43 rue St. Laurent,12/29/1994 12:00:00 AM,Mère Paillarde,Canada,11/21/1994 12:00:00 AM,3,Québec,52.84,10332,2,H1J 1C3,CANAD,Montréal,3
11/18/1994 12:00:00 AM,Torikatu 38,12/16/1994 12:00:00 AM,Wartian Herkku,Finland,11/25/1994 12:00:00 AM,5,,0.59,10333,3,90110,FNLND,Oulu,1
11/21/1994 12:00:00 AM,"2, rue du Commerce",12/19/1994 12:00:00 AM,Victuailles en stock,France,11/28/1994 12:00:00 AM,8,,8.56,10334,2,69004,FRANC,Lyon,10
11/22/1994 12:00:00 AM,8 Johnstown Road,12/20/1994 12:00:00 AM,Hungry Owl All-Night Grocers,Ireland,11/24/1994 12:00:00 AM,7,Co. Cork,42.11,10335,2,,IRLND,Cork,1
11/23/1994 12:00:00 AM,Estrada da saúde n. 58,12/21/1994 12:00:00 AM,Princesa Isabel Vinhos,Portugal,11/25/1994 12:00:00 AM,7,,15.51,10336,2,1756,PORTU,Lisboa,2
11/24/1994 12:00:00 AM,Berliner Platz 43,12/22/1994 12:00:00 AM,Frankenversand,Germany,11/29/1994 12:00:00 AM,4,,108.26,10337,3,80805,GERMN,München,5
11/25/1994 12:00:00 AM,2743 Bering St.,12/23/1994 12:00:00 AM,Old World Delicatessen,USA,11/29/1994 12:00:00 AM,4,AK,84.21,10338,3,99508,USADI,Anchorage,6
11/28/1994 12:00:00 AM,43 rue St. Laurent,12/26/1994 12:00:00 AM,Mère Paillarde,Canada,12/05/1994 12:00:00 AM,2,Québec,15.66,10339,2,H1J 1C3,CANAD,Montréal,3
11/29/1994 12:00:00 AM,"12, rue des Bouchers",12/27/1994 12:00:00 AM,Bon app',France,12/09/1994 12:00:00 AM,1,,166.31,10340,3,13008,FRANC,Marseille,2
11/29/1994 12:00:00 AM,Vinbæltet 34,12/27/1994 12:00:00 AM,Simons bistro,Denmark,12/06/1994 12:00:00 AM,7,,26.78,10341,3,1734,DENMR,København,1
11/30/1994 12:00:00 AM,Berliner Platz 43,12/14/1994 12:00:00 AM,Frankenversand,Germany,12/05/1994 12:00:00 AM,4,,54.83,10342,2,80805,GERMN,München,5
12/01/1994 12:00:00 AM,Magazinweg 7,12/29/1994 12:00:00 AM,Lehmanns Marktstand,Germany,12/07/1994 12:00:00 AM,4,,110.37,10343,1,60528,GERMN,Frankfurt a.M.,7
12/02/1994 12:00:00 AM,1029 - 12th Ave. S.,12/30/1994 12:00:00 AM,White Clover Markets,USA,12/06/1994 12:00:00 AM,4,WA,23.29,10344,2,98124,USADI,Seattle,13
12/05/1994 12:00:00 AM,Taucherstraße 10,01/02/1995 12:00:00 AM,QUICK-Stop,Germany,12/12/1994 12:00:00 AM,2,,249.06,10345,2,01307,GERMN,Cunewalde,10
12/06/1994 12:00:00 AM,2817 Milton Dr.,01/17/1995 12:00:00 AM,Rattlesnake Canyon Grocery,USA,12/09/1994 12:00:00 AM,3,NM,142.08,10346,3,87110,USADI,Albuquerque,7
12/07/1994 12:00:00 AM,"Rua Orós, 92",01/04/1995 12:00:00 AM,Familia Arquibaldo,Brazil,12/09/1994 12:00:00 AM,4,SP,3.1,10347,3,05442-030,BRAZL,São Paulo,2
12/08/1994 12:00:00 AM,Adenauerallee 900,01/05/1995 12:00:00 AM,Die Wandernde Kuh,Germany,12/16/1994 12:00:00 AM,4,,0.78,10348,2,70563,GERMN,Stuttgart,3
12/09/1994 12:00:00 AM,P.O. Box 555,01/06/1995 12:00:00 AM,Split Rail Beer & Ale,USA,12/16/1994 12:00:00 AM,7,WY,8.63,10349,1,82520,USADI,Lander,9
12/12/1994 12:00:00 AM,1 rue Alsace-Lorraine,01/09/1995 12:00:00 AM,La maison d'Asie,France,01/03/1995 12:00:00 AM,6,,64.19,10350,2,31000,FRANC,Toulouse,7
12/12/1994 12:00:00 AM,Kirchgasse 6,01/09/1995 12:00:00 AM,Ernst Handel,Austria,12/21/1994 12:00:00 AM,1,,162.33,10351,1,8010,AUSTR,Graz,1
12/13/1994 12:00:00 AM,Jardim das rosas n. 32,12/27/1994 12:00:00 AM,Furia Bacalhau e Frutos do Mar,Portugal,12/19/1994 12:00:00 AM,3,,1.3,10352,3,1675,PORTU,Lisboa,1
12/14/1994 12:00:00 AM,Geislweg 14,01/11/1995 12:00:00 AM,Piccolo und mehr,Austria,12/26/1994 12:00:00 AM,7,,360.63,10353,3,5020,AUSTR,Salzburg,2
12/15/1994 12:00:00 AM,Calle Dr. Jorge Cash 321,01/12/1995 12:00:00 AM,Pericles Comidas clásicas,Mexico,12/21/1994 12:00:00 AM,8,,53.8,10354,3,05033,MEXIC,México D.F.,4
12/16/1994 12:00:00 AM,"Brook Farm, Stratford St. Mary",01/13/1995 12:00:00 AM,Around the Horn,UK,12/21/1994 12:00:00 AM,6,Essex,41.95,10355,1,CO7 6JX,UKDST,Colchester,1
12/19/1994 12:00:00 AM,Adenauerallee 900,01/16/1995 12:00:00 AM,Die Wandernde Kuh,Germany,12/28/1994 12:00:00 AM,6,,36.71,10356,2,70563,GERMN,Stuttgart,3
12/20/1994 12:00:00 AM,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,01/17/1995 12:00:00 AM,LILA-Supermercado,Venezuela,01/02/1995 12:00:00 AM,1,Lara,34.88,10357,3,3508,VENEZ,Barquisimeto,3
12/21/1994 12:00:00 AM,1 rue Alsace-Lorraine,01/18/1995 12:00:00 AM,La maison d'Asie,France,12/28/1994 12:00:00 AM,5,,19.64,10358,1,31000,FRANC,Toulouse,7
12/22/1994 12:00:00 AM,90 Wadhurst Rd.,01/19/1995 12:00:00 AM,Seven Seas Imports,UK,12/27/1994 12:00:00 AM,5,,288.43,10359,3,OX15 4NB,UKDST,London,7
12/23/1994 12:00:00 AM,"24, place Kléber",01/20/1995 12:00:00 AM,Blondel père et fils,France,01/02/1995 12:00:00 AM,4,,131.7,10360,3,67000,FRANC,Strasbourg,1
12/23/1994 12:00:00 AM,Taucherstraße 10,01/20/1995 12:00:00 AM,QUICK-Stop,Germany,01/03/1995 12:00:00 AM,1,,183.17,10361,2,01307,GERMN,Cunewalde,10
12/26/1994 12:00:00 AM,"12, rue des Bouchers",01/23/1995 12:00:00 AM,Bon app',France,12/29/1994 12:00:00 AM,3,,96.04,10362,1,13008,FRANC,Marseille,2
12/27/1994 12:00:00 AM,35 King George,02/07/1995 12:00:00 AM,Eastern Connection,UK,01/04/1995 12:00:00 AM,1,,71.97,10364,1,WX3 6FW,UKDST,London,4
12/27/1994 12:00:00 AM,Walserweg 21,01/24/1995 12:00:00 AM,Drachenblut Delikatessen,Germany,01/04/1995 12:00:00 AM,4,,30.54,10363,3,52066,GERMN,Aachen,4
12/28/1994 12:00:00 AM,Mataderos  2312,01/25/1995 12:00:00 AM,Antonio Moreno Taquería,Mexico,01/02/1995 12:00:00 AM,3,,22,10365,2,05023,MEXIC,México D.F.,2
12/29/1994 12:00:00 AM,"Rambla de Cataluña, 23",02/09/1995 12:00:00 AM,Galería del gastronómo,Spain,01/30/1995 12:00:00 AM,8,,10.14,10366,2,8022,SPAIN,Barcelona,3
12/29/1994 12:00:00 AM,Smagsløget 45,01/26/1995 12:00:00 AM,Vaffeljernet,Denmark,01/02/1995 12:00:00 AM,7,,13.55,10367,3,8200,DENMR,Århus,2
12/30/1994 12:00:00 AM,Kirchgasse 6,01/27/1995 12:00:00 AM,Ernst Handel,Austria,01/02/1995 12:00:00 AM,2,,101.95,10368,2,8010,AUSTR,Graz,1
01/02/1995 12:00:00 AM,P.O. Box 555,01/30/1995 12:00:00 AM,Split Rail Beer & Ale,USA,01/09/1995 12:00:00 AM,8,WY,195.68,10369,2,82520,USADI,Lander,9
01/03/1995 12:00:00 AM,1 rue Alsace-Lorraine,01/31/1995 12:00:00 AM,La maison d'Asie,France,01/24/1995 12:00:00 AM,1,,0.45,10371,1,31000,FRANC,Toulouse,7
01/03/1995 12:00:00 AM,Hauptstr. 31,01/31/1995 12:00:00 AM,Chop-suey Chinese,Switzerland,01/27/1995 12:00:00 AM,6,,1.17,10370,2,3012,SWISS,Bern,1
01/04/1995 12:00:00 AM,"Alameda dos Canàrios, 891",02/01/1995 12:00:00 AM,Queen Cozinha,Brazil,01/09/1995 12:00:00 AM,5,SP,890.78,10372,2,05487-020,BRAZL,São Paulo,6
01/05/1995 12:00:00 AM,8 Johnstown Road,02/02/1995 12:00:00 AM,Hungry Owl All-Night Grocers,Ireland,01/11/1995 12:00:00 AM,4,Co. Cork,124.12,10373,3,,IRLND,Cork,1
01/05/1995 12:00:00 AM,ul. Filtrowa 68,02/02/1995 12:00:00 AM,Wolski Zajazd,Poland,01/09/1995 12:00:00 AM,1,,3.94,10374,3,01-012,POLND,Warszawa,1
01/06/1995 12:00:00 AM,"City Center Plaza, 516 Main St.",02/03/1995 12:00:00 AM,Hungry Coyote Import Store,USA,01/09/1995 12:00:00 AM,3,OR,20.12,10375,2,97827,USADI,Elgin,2
01/09/1995 12:00:00 AM,43 rue St. Laurent,02/06/1995 12:00:00 AM,Mère Paillarde,Canada,01/13/1995 12:00:00 AM,1,Québec,20.39,10376,2,H1J 1C3,CANAD,Montréal,3
01/09/1995 12:00:00 AM,90 Wadhurst Rd.,02/06/1995 12:00:00 AM,Seven Seas Imports,UK,01/13/1995 12:00:00 AM,1,,22.21,10377,3,OX15 4NB,UKDST,London,7
01/10/1995 12:00:00 AM,Åkergatan 24,02/07/1995 12:00:00 AM,Folk och fä HB,Sweden,01/19/1995 12:00:00 AM,5,,5.44,10378,3,S-844 67,SWEDN,Bräcke,2
